#ARG	query-start	query-end	read_id	predicted_ARG-class	best-hit	probability	identity	alignment-length	alignment-bitscore	alignment-evalue	counts
ROSB	1	477	ExDog10_100179	fosmidomycin	gi:1001786599:ref:WP_061324791.1:|FEATURES|rosB|fosmidomycin|rosB	0.9998465301586416	50.5	481	417	7.01e-142	1
UGD	1	388	ExDog10_114188	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8968044614164192	55.9	435	461	2.86e-162	1
VANS	13	134	ExDog10_316570	glycopeptide	AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	0.994038993349639	76.2	122	201	8.88e-69	1
EFRB	49	362	ExDog10_7654	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8432526062188777	53.3	315	330	1.39e-112	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	284	ExDog10_221546	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9974947801687655	53.8	286	323	1.24e-111	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	7	80	ExDog10_201452	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8638370230983494	56.8	74	81.6	9.21e-21	1
VANS	22	133	ExDog10_134821	glycopeptide	AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	0.9720290274090321	57.5	113	150	1.36e-48	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog10_190635	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995166261476714	61.7	287	395	2.98e-140	1
VANS	1	134	ExDog10_179649	glycopeptide	AY082011.1.gene2.p1|FEATURES|vanS|glycopeptide|vanS	0.9965480825700297	77.6	134	223	2.96e-77	1
UGD	118	388	ExDog10_218585	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8283539913238465	53.6	336	325	2.32e-110	1
RPOB2	27	1122	ExDog10_86450	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.991479245132273	51.7	1206	1116	0.0	1
MEFA	1	405	ExDog10_201734	MLS	gi:501051234:ref:WP_012102863.1:|FEATURES|mefA|MLS|mefA	0.9981796842798235	58.0	405	472	3.45e-166	1
VANR	5	235	ExDog10_196514	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9997668945564876	56.7	233	265	3.49e-90	1
LSA	3	492	ExDog10_185171	MLS	gi:902795376:ref:WP_049664555.1:|FEATURES|lsa|MLS|lsa	0.9750915962803689	63.3	490	637	6.43e-229	1
EFRB	36	362	ExDog10_108065	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8432526062188777	50.5	327	330	8.69e-110	1
EFRB	19	362	ExDog10_322866	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8579108028011213	51.3	347	345	1.12e-114	1
TET44	1	638	ExDog10_75093	tetracycline	FN594949.1.gene24.p01|FEATURES|tet44|tetracycline|tet44	0.9999609426357956	85.9	638	1100	0.0	1
LSA	1	472	ExDog10_103091	MLS	gi:944535691:ref:WP_055747198.1:|FEATURES|lsa|MLS|lsa	0.9995211106526627	66.3	472	644	5.48e-232	1
LSA	1	492	ExDog10_62403	MLS	gi:902795376:ref:WP_049664555.1:|FEATURES|lsa|MLS|lsa	0.9746717919135954	52.4	498	502	9.31e-176	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	4	80	ExDog10_13294	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8219687703229694	51.9	77	75.1	2.95e-18	1
CLASS_A	1	290	ExDog10_154360	beta-lactam	gi:1045851695:ref:WP_065538049.1:|FEATURES|class_A|beta-lactam|class_A	0.9956519882876749	56.8	292	330	2.31e-114	1
UGD	1	388	ExDog10_233398	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.90433587801871	60.7	410	488	2.36e-173	1
RPOB2	24	1145	ExDog10_209551	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9953646848668057	56.4	1207	1285	0.0	1
RPOB2	24	1122	ExDog10_160019	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9940013720042998	53.6	1236	1209	0.0	1
RPOB2	24	1122	ExDog10_129700	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9942509330382397	54.1	1197	1221	0.0	1
RPOB2	20	1122	ExDog10_71362	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9938494484903384	53.1	1238	1202	0.0	1
LNUD	1	164	ExDog10_260150	MLS	ABR14060.1|FEATURES|lnuD|MLS|lnuD	0.9951242432558325	55.5	164	203	3.07e-68	1
UGD	1	385	ExDog10_27642	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9011531168122686	60.2	407	476	1.94e-168	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	80	ExDog10_313242	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8248688702032697	53.8	78	75.5	2.02e-18	1
LSA	3	492	ExDog10_299928	MLS	gi:944535691:ref:WP_055747198.1:|FEATURES|lsa|MLS|lsa	0.9994909619182835	68.4	490	675	3.62e-244	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog10_2991	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995073187324859	62.0	287	394	5.77e-140	1
TET32	1	639	ExDog10_167543	tetracycline	ABV82118|FEATURES|tet32|tetracycline|tet32	0.9999964930934591	100	639	1275	0.0	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	78	ExDog10_181724	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8277102361981695	51.3	76	75.9	9.48e-19	1
LSAE	1	488	ExDog10_200397	MLS	AFU35065.1|FEATURES|lsaE|MLS|lsaE	0.9610113028826078	55.6	541	580	7.56e-206	1
LNUA	23	160	ExDog10_178230	MLS	YP_758631|FEATURES|lnuA|MLS|lnuA	0.999999334985462	55.8	138	178	7.49e-59	1
UGD	1	388	ExDog10_161160	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9033068847790403	61.0	410	484	8.83e-172	1
BCRA	5	308	ExDog10_275748	bacitracin	gi:445996710:ref:WP_000074565.1:|FEATURES|bcrA|bacitracin|bcrA	0.9996601153640026	52.3	304	299	8.91e-102	1
UGD	1	388	ExDog10_231990	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8939977625663522	53.3	441	452	1.03e-158	1
TETO	1	639	ExDog10_81792	tetracycline	ZP_03923764|FEATURES|tetO|tetracycline|tetO	0.9999944494989503	99.8	639	1272	0.0	1
LSA	1	490	ExDog10_82913	MLS	gi:499132967:ref:WP_010860999.1:|FEATURES|lsa|MLS|lsa	0.9429925387724429	59.7	496	603	1.75e-215	1
BCRA	7	309	ExDog10_323747	bacitracin	gi:445996719:ref:WP_000074574.1:|FEATURES|bcrA|bacitracin|bcrA	0.9997946964744632	53.5	303	305	3.24e-104	1
LNUD	6	164	ExDog10_313141	MLS	ABR14060.1|FEATURES|lnuD|MLS|lnuD	0.9953833095643048	62.9	159	228	3.00e-78	1
UGD	3	388	ExDog10_138605	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8977077038182628	55.8	437	464	2.26e-163	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	53	287	ExDog10_205885	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9978571628617205	64.7	235	329	4.31e-115	1
UGD	3	388	ExDog10_3356	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9019767468794722	59.5	407	479	4.24e-169	1
UGD	1	388	ExDog10_29854	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8955755783010614	54.2	439	457	2.07e-160	1
EFRB	37	362	ExDog10_4433	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8246706474945906	50.9	326	313	1.52e-102	1
TEM	1	286	ExDog10_236954	beta-lactam	gi:1031663473:gb:ANG27598.1:|FEATURES|TEM-1|beta-lactam|TEM	0.9902028813452302	100	286	565	1.31e-207	1
APH(6)-I	4	281	ExDog10_236955	aminoglycoside	CAQ86961|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I	0.9999998523862239	100	278	562	1.85e-206	1
APH(3'')-I	1	267	ExDog10_236956	aminoglycoside	AF313472.2.gene15.p01|FEATURES|aph(3'')-I|aminoglycoside|aph(3'')-I	0.9997420155947435	99.3	267	548	3.09e-201	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	286	ExDog10_187895	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9982984700466958	53.6	291	338	1.54e-117	1
CLASS_A	13	295	ExDog10_86251	beta-lactam	AAA21532|FEATURES|class_A|beta-lactam|class_A	0.9957464492436785	54.8	283	321	1.60e-110	1
KDPE	4	208	ExDog10_307749	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.9821684628589938	55.6	207	218	1.14e-72	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog10_285329	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9990754426298806	56.8	287	363	1.29e-127	1
UGD	100	388	ExDog10_47731	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8487880670949582	56.3	336	354	1.45e-121	1
RPOB2	20	1137	ExDog10_167648	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9946380503091896	54.5	1245	1241	0.0	1
RPOB2	24	1124	ExDog10_43129	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9949037870086455	54.9	1231	1256	0.0	1
UGD	1	357	ExDog10_301324	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8794402983549929	52.5	415	412	2.11e-143	1
MEFA	1	405	ExDog10_100490	MLS	ACD88490|FEATURES|mefA|MLS|mefA	0.9999746363009637	57.0	405	452	5.39e-159	1
BCRA	4	302	ExDog10_155557	bacitracin	gi:447195835:ref:WP_001273091.1:|FEATURES|bcrA|bacitracin|bcrA	0.9996993683255112	54.2	299	308	3.67e-105	1
UGD	1	388	ExDog10_199467	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9158616364154339	67.3	388	540	4.96e-194	1
UGD	2	388	ExDog10_226107	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8889895836744812	56.8	387	437	1.24e-153	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	80	ExDog10_291540	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.838009517054774	51.3	78	77.4	4.47e-19	1
RPOB2	20	1137	ExDog10_263640	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9942102158618367	53.5	1255	1219	0.0	1
VANRI	4	232	ExDog10_244868	glycopeptide	WP_011461303.1|FEATURES|vanRI|glycopeptide|vanRI	0.9999869672404962	59.8	229	292	2.50e-101	1
EFRB	36	362	ExDog10_221282	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8326715641059291	51.4	327	320	7.94e-105	1
BCRA	16	314	ExDog10_169054	bacitracin	YP_001373621|FEATURES|bcrA|bacitracin|bcrA	0.9996622670233604	52.2	299	302	7.36e-103	1
VANU	1	67	ExDog10_199088	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9941618705556623	53.7	67	77.0	4.90e-21	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	7	80	ExDog10_189393	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8432591570242994	55.4	74	78.2	2.27e-19	1
RPOB2	24	1122	ExDog10_70484	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.993958346885875	53.0	1236	1207	0.0	1
LNUE	2	160	ExDog10_285192	MLS	AGT57825|FEATURES|lnuE|MLS|lnuE	0.9999999713289028	57.9	159	202	4.99e-68	1
UGD	2	388	ExDog10_320	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8949493728206508	55.5	434	455	6.24e-160	1
RPOB2	20	1122	ExDog10_30327	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9944492397383774	54.1	1238	1231	0.0	1
VANRI	4	232	ExDog10_92497	glycopeptide	WP_011461303.1|FEATURES|vanRI|glycopeptide|vanRI	0.9999939045268437	65.1	229	320	6.81e-112	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog10_109638	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9988023008776235	55.1	287	352	2.33e-123	1
UGD	1	388	ExDog10_138349	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8985915338182087	57.2	435	467	1.89e-164	1
UGD	1	388	ExDog10_150311	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9045894695807871	60.7	412	489	7.11e-174	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog10_68679	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994362235514563	61.0	287	387	6.36e-137	1
VANU	1	67	ExDog10_17687	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9903440048455149	52.2	67	70.1	2.12e-18	1
LNUC	1	164	ExDog10_211875	MLS	AAY32951.1|FEATURES|lnuC|MLS|lnuC	0.9955414558586219	57.9	164	208	3.49e-70	1
BCRA	7	309	ExDog10_89180	bacitracin	gi:445996719:ref:WP_000074574.1:|FEATURES|bcrA|bacitracin|bcrA	0.9997714111126755	52.8	303	311	1.22e-106	1
EFRB	33	362	ExDog10_152781	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8483105023383263	51.8	330	335	3.93e-111	1
OPRM	10	465	ExDog10_323627	multidrug	NC_008702.1.4606278.p01|FEATURES|oprM|multidrug|oprM	0.8697299677584382	50.0	456	414	3.54e-142	1
VANR	1	231	ExDog10_301784	glycopeptide	gi:447203855:ref:WP_001281111.1:|FEATURES|vanR|glycopeptide|vanR	0.999992499253263	61.9	231	297	1.94e-103	1
UGD	1	329	ExDog10_100528	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8698185153805595	60.4	333	391	2.55e-136	1
UGD	3	388	ExDog10_203553	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.903824534221401	60.4	407	486	4.44e-171	1
LNUA	7	161	ExDog10_285772	MLS	CAJ75672|FEATURES|lnuA|MLS|lnuA	0.9999999618436765	55.5	155	199	6.26e-67	1
RPOB2	24	1122	ExDog10_106797	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9941278097327634	53.6	1240	1215	0.0	1
CFXA2	1	258	ExDog10_150366	beta-lactam	AAM48117|FEATURES|CfxA2|beta-lactam|CfxA2	0.9999840694502345	88.4	258	453	4.51e-163	1
BACA	9	271	ExDog10_123993	bacitracin	Q5P6K4|FEATURES|bacA|bacitracin|bacA	0.9818252359627035	59.2	267	307	5.59e-106	1
ROSA	17	346	ExDog10_185798	fosmidomycin	YP_001477378|FEATURES|rosA|fosmidomycin|rosA	0.9979655521493462	56.2	331	350	6.72e-120	1
VANU	1	67	ExDog10_126482	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9877124206353156	50.7	67	67.0	3.65e-17	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	285	ExDog10_131595	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.999117252091277	58.4	286	365	4.29e-128	1
VANR	1	230	ExDog10_282940	glycopeptide	gi:447203848:ref:WP_001281104.1:|FEATURES|vanR|glycopeptide|vanR	0.9999964459988642	70.9	230	350	2.10e-124	1
EFRB	22	362	ExDog10_257804	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8315619150599088	50.6	342	319	1.22e-104	1
LSA	1	490	ExDog10_107367	MLS	gi:499132967:ref:WP_010860999.1:|FEATURES|lsa|MLS|lsa	0.9319546272117544	57.3	490	569	3.98e-202	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog10_255123	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.99935323864155	60.6	287	380	2.45e-134	1
KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	47	264	ExDog10_49399	aminoglycoside	Q7N8V7|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.8216710560383585	55.0	218	219	3.49e-72	1
UGD	2	388	ExDog10_15613	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8936776381044716	55.1	432	451	2.61e-158	1
EFRB	17	362	ExDog10_819	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8512646704436886	50.8	354	338	8.78e-112	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	225	ExDog10_104220	unclassified	HE999704.1.gene1528.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.9982447810774918	53.7	231	216	2.82e-71	1
ACRB	2	1036	ExDog10_311239	multidrug	gi:495735716:ref:WP_008460295.1:|FEATURES|acrB|multidrug|acrB	0.8875182736394487	57.3	1039	1127	0.0	1
OPRM	10	465	ExDog10_311238	multidrug	NC_008702.1.4606278.p01|FEATURES|oprM|multidrug|oprM	0.8720877738541158	50.7	456	416	8.82e-143	1
VANR	1	230	ExDog10_81812	glycopeptide	gi:1045412091:ref:WP_065484665.1:|FEATURES|vanR|glycopeptide|vanR	0.9999659217382575	59.6	230	287	1.81e-99	1
AAC(6')-I	1	178	ExDog10_86169	aminoglycoside	AF337947.1.gene2.p01|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I	0.843530707082369	100	178	371	3.19e-134	1
RPOB2	24	1122	ExDog10_23185	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9938271587966311	53.2	1236	1201	0.0	1
CFXA6	12	326	ExDog10_26620	beta-lactam	ACT97371.1|FEATURES|CfxA6|beta-lactam|CfxA6	0.9999951554866053	80.3	315	476	7.26e-171	1
EFRB	37	362	ExDog10_75081	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8348672983422	51.5	330	322	1.10e-105	1
UGD	1	388	ExDog10_26932	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8982987357294535	55.1	439	466	2.78e-164	1
RPOB2	28	1137	ExDog10_279197	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9949714592540861	55.2	1224	1260	0.0	1
UGD	6	388	ExDog10_302668	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9022473199905271	60.2	407	480	2.61e-170	1
UGD	2	388	ExDog10_45536	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9027829352928731	60.1	409	482	1.46e-169	1
VANU	4	67	ExDog10_281894	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9947720038161967	62.5	64	78.6	1.25e-21	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	285	ExDog10_71374	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9995686724814389	64.2	285	401	2.67e-142	1
RPOB2	20	1137	ExDog10_12407	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9946747069241275	54.6	1244	1243	0.0	1
EFRB	39	362	ExDog10_245531	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8401669337553518	51.9	324	327	9.10e-108	1
VANRI	4	232	ExDog10_302000	glycopeptide	WP_011461303.1|FEATURES|vanRI|glycopeptide|vanRI	0.9999931994593179	64.6	229	319	7.97e-112	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	80	ExDog10_255347	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.8574660433322686	51.3	78	80.5	2.56e-20	1
UGD	50	388	ExDog10_190352	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8764121719836739	54.9	386	405	6.58e-141	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	285	ExDog10_109884	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9990087112989403	56.9	288	360	3.38e-126	1
AADE	26	288	ExDog10_77481	aminoglycoside	ZP_04556181|FEATURES|aadE|aminoglycoside|aadE	0.9999993206175962	84.8	263	469	4.95e-170	1
LSA	1	492	ExDog10_96422	MLS	gi:944535691:ref:WP_055747198.1:|FEATURES|lsa|MLS|lsa	0.999153196806761	66.7	492	671	3.82e-242	1
UGD	3	388	ExDog10_281652	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8982987357294535	55.8	437	466	3.94e-164	1
VANU	3	63	ExDog10_99446	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9929328911707948	54.1	61	74.3	4.00e-17	1
RPOB2	20	1122	ExDog10_190762	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9943114828311638	53.5	1240	1224	0.0	1
EFRB	22	362	ExDog10_215149	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8522337806284123	52.3	342	339	8.27e-113	1
VANU	1	74	ExDog10_178819	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9939972656304673	52.7	74	76.6	8.46e-21	1
VANR	5	232	ExDog10_69950	glycopeptide	ACM47283|FEATURES|vanR|glycopeptide|vanR	0.9997073461430033	55.0	229	254	3.60e-86	1
EMRE	1	116	ExDog10_132964	multidrug	NC_008702.1.4608023.p01|FEATURES|emrE|multidrug|emrE	0.9947101342339061	69.0	116	154	1.83e-50	1
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	219	ExDog10_258393	unclassified	NC_002951.3238224.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.996603517883583	50.0	222	206	9.98e-68	1
MEXB	2	1045	ExDog10_43209	multidrug	YP_001345921|FEATURES|mexB|multidrug|mexB	0.967066152925855	56.9	1050	1114	0.0	1
ACRA	10	366	ExDog10_43208	multidrug	ZP_03359886|FEATURES|acrA|multidrug|acrA	0.9999259036240665	50.0	362	311	1.21e-103	1
UGD	1	388	ExDog10_141906	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8971072976645871	54.9	439	462	9.14e-163	1
VANU	1	67	ExDog10_11219	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9923426660655791	50.7	67	73.2	1.34e-19	1
UGD	2	388	ExDog10_83489	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.894316308082101	55.1	434	453	3.45e-159	1
RPOB2	27	1123	ExDog10_108035	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9929199465159574	53.7	1186	1164	0.0	1
RPOB2	20	1124	ExDog10_56169	multidrug	BAD59497.1|FEATURES|rpoB2|multidrug|rpoB2	0.9950702851021704	55.8	1205	1266	0.0	1
VANRI	4	232	ExDog10_123600	glycopeptide	WP_011461303.1|FEATURES|vanRI|glycopeptide|vanRI	0.9999920013725592	63.3	229	315	1.48e-110	1
UGD	12	388	ExDog10_266849	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9118220220557745	66.8	377	520	2.62e-186	1
UGD	1	388	ExDog10_212120	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9033068847790403	60.0	412	484	2.73e-170	1
LSA	1	492	ExDog10_308229	MLS	gi:944535691:ref:WP_055747198.1:|FEATURES|lsa|MLS|lsa	0.9998375760112336	62.6	492	628	1.59e-225	1
UGD	30	388	ExDog10_42627	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8949493728206508	60.9	381	455	1.03e-160	1
VANU	1	67	ExDog10_205948	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.993870654423814	52.2	67	76.3	8.76e-21	1
UGD	1	388	ExDog10_218280	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.9017044272315525	59.7	412	478	3.63e-169	1
UGD	26	388	ExDog10_304656	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8949493728206508	60.5	385	455	1.20e-160	1
UGD	1	388	ExDog10_57588	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8997463091564983	55.6	439	471	4.68e-166	1
BCRA	5	305	ExDog10_207012	bacitracin	gi:445996708:ref:WP_000074563.1:|FEATURES|bcrA|bacitracin|bcrA	0.9998140468075588	53.5	301	304	1.48e-103	1
LNUC	1	164	ExDog10_235094	MLS	AAY32951.1|FEATURES|lnuC|MLS|lnuC	0.9958765436928856	59.1	164	212	7.40e-72	1
LSA	1	492	ExDog10_196330	MLS	gi:951389844:ref:WP_057765492.1:|FEATURES|lsa|MLS|lsa	0.9705439034021953	68.1	492	671	1.74e-241	1
EFRB	36	362	ExDog10_278508	multidrug	CDO61516.1|FEATURES|efrB|multidrug|efrB	0.8522337806284126	51.1	327	339	2.33e-112	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog10_163663	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994362235514563	62.0	287	387	4.66e-137	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	286	ExDog10_28437	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9997221092854163	67.2	287	425	4.35e-152	1
UGD	18	388	ExDog10_75869	peptide	AAC75089.1|FEATURES|ugd|peptide|ugd	0.8879310135041463	54.1	418	434	1.04e-151	1
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog10_195536	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9994679871268509	61.7	287	390	3.86e-138	1
